"행정구역","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_20~29세","2018년_계_30~39세","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_20~29세","2019년_계_30~39세","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_20~29세","2020년_계_30~39세","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_20~29세","2021년_계_30~39세","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_20~29세","2022년_계_30~39세"
"전국  (0000000000)","51,826,059","14,094,116","6,823,973","7,270,143","51,849,861","13,881,380","6,810,356","7,071,024","51,829,023","13,679,270","6,806,153","6,873,117","51,638,809","13,379,358","6,655,923","6,723,435","51,439,038","13,032,692","6,417,181","6,615,511"
"서울특별시  (1100000000)","9,765,623","2,998,560","1,449,790","1,548,770","9,729,107","2,966,582","1,456,623","1,509,959","9,668,465","2,935,517","1,460,411","1,475,106","9,509,458","2,861,556","1,422,277","1,439,279","9,428,372","2,815,291","1,389,483","1,425,808"
"부산광역시  (2600000000)","3,441,453","899,448","444,737","454,711","3,413,841","871,859","436,149","435,710","3,391,946","850,001","430,987","419,014","3,350,380","820,849","415,549","405,300","3,317,812","791,825","395,398","396,427"
"대구광역시  (2700000000)","2,461,769","648,823","330,845","317,978","2,438,031","629,627","323,641","305,986","2,418,346","615,844","321,534","294,310","2,385,412","593,786","308,921","284,865","2,363,691","573,820","294,363","279,457"
"인천광역시  (2800000000)","2,954,642","843,463","409,794","433,669","2,957,026","828,797","407,608","421,189","2,942,828","807,692","401,546","406,146","2,948,375","793,142","391,051","402,091","2,967,314","781,788","376,526","405,262"
"광주광역시  (2900000000)","1,459,336","406,163","205,743","200,420","1,456,468","400,391","207,448","192,943","1,450,062","395,242","209,375","185,867","1,441,611","387,661","206,472","181,189","1,431,050","376,036","198,619","177,417"
"대전광역시  (3000000000)","1,489,936","422,995","213,955","209,040","1,474,870","413,109","212,629","200,480","1,463,882","406,576","212,488","194,088","1,452,251","399,066","209,397","189,669","1,446,072","391,878","203,887","187,991"
"울산광역시  (3100000000)","1,155,623","319,567","153,359","166,208","1,148,019","308,880","149,137","159,743","1,136,017","296,274","144,569","151,705","1,121,592","282,313","137,422","144,891","1,110,663","268,844","129,209","139,635"
"세종특별자치시  (3600000000)","314,126","92,412","34,031","58,381","340,575","97,804","36,340","61,464","355,831","98,945","37,453","61,492","371,895","100,229","38,510","61,719","383,591","99,462","38,379","61,083"
"경기도  (4100000000)","13,077,153","3,698,625","1,749,054","1,949,571","13,239,666","3,696,522","1,770,695","1,925,827","13,427,014","3,715,307","1,807,848","1,907,459","13,565,450","3,698,716","1,798,269","1,900,447","13,589,432","3,619,591","1,737,291","1,882,300"
"강원도  (4200000000)","1,543,052","358,469","182,891","175,578","1,541,502","351,771","181,102","170,669","1,542,840","346,364","180,015","166,349","1,538,492","338,241","175,424","162,817","1,536,498","330,559","170,194","160,365"
"충청북도  (4300000000)","1,599,252","406,509","200,941","205,568","1,600,007","400,285","200,205","200,080","1,600,837","393,886","199,209","194,677","1,597,427","385,022","194,415","190,607","1,595,058","375,742","188,310","187,432"
"충청남도  (4400000000)","2,126,282","537,386","248,443","288,943","2,123,709","524,990","245,737","279,253","2,121,029","511,798","243,200","268,598","2,119,257","497,862","238,297","259,565","2,123,037","484,574","231,139","253,435"
"전라북도  (4500000000)","1,836,832","425,428","217,554","207,874","1,818,917","411,844","213,865","197,979","1,804,104","400,476","211,464","189,012","1,786,855","388,760","206,579","182,181","1,769,607","374,789","198,284","176,505"
"전라남도  (4600000000)","1,882,970","411,745","206,817","204,928","1,868,745","400,334","204,910","195,424","1,851,549","386,773","200,709","186,064","1,832,803","372,163","193,735","178,428","1,817,697","358,232","185,970","172,262"
"경상북도  (4700000000)","2,676,831","619,667","300,125","319,542","2,665,836","601,357","294,550","306,807","2,639,422","575,280","284,163","291,117","2,626,609","555,496","276,021","279,475","2,600,492","529,688","261,320","268,368"
"경상남도  (4800000000)","3,373,988","835,415","394,180","441,235","3,362,553","810,243","387,562","422,681","3,340,216","777,994","378,436","399,558","3,314,183","742,547","362,661","379,886","3,280,493","703,314","341,089","362,225"
"제주특별자치도  (5000000000)","667,191","169,441","81,714","87,727","670,989","166,985","82,155","84,830","674,635","165,301","82,746","82,555","676,759","161,949","80,923","81,026","678,159","157,259","77,720","79,539"
